Index Name,Index Date,Open Index Value,High Index Value,Low Index Value,Closing Index Value,Points Change,Change(%),Volume,Turnover (Rs. Cr.),P/E,P/B,Div Yield
Nifty Midcap 150,13-05-2020,5058.55,5058.55,4937.05,4983.1,93.5,1.91,915726209,8911.86,21.91,2.26,1.27
Nifty MidSmallcap 400,13-05-2020,4512.05,4512.05,4405.8,4445.1,88.1,2.02,1194305728,11245.89,26.98,1.87,1.42
Nifty Smallcap 50,13-05-2020,1918.15,1918.9,1863.25,1877.1,35.45,1.92,137615867,1167.25,14.78,1.19,1.62
Nifty Smallcap 250,13-05-2020,3542.7,3542.7,3462.8,3490.8,78.2,2.29,278579519,2334.03,62.92,1.31,1.77
Nifty Private Bank,13-05-2020,10944.3,11008.4,10609.5,10718.9,408.15,3.96,344310985,10285.03,21.41,2.13,0.61
Nifty Tata Group 25% Cap,13-05-2020,-,-,-,3585.85,31.05,0.87,160215622,2657.6,17.49,1.98,1.25
Nifty Tata Group,13-05-2020,-,-,-,5835.56,18.62,0.32,168068191,2714.5,21.5,4.41,1.32
Nifty Mahindra Group,13-05-2020,-,-,-,7009.21,281.12,4.18,22969699,694.03,11.75,1.75,2.49
Nifty Aditya Birla Group,13-05-2020,-,-,-,2146.06,77.19,3.73,465057342,996.84,,1.06,0.49
Nifty 8-13 yr G-Sec,13-05-2020,2144.06,2154.05,2139.77,2152.75,9.08,0.42,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,13-05-2020,2287.25,2292.24,2286.34,2292.01,5.16,0.23,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,13-05-2020,2307.61,2320.15,2304.05,2318.41,11.22,0.49,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,13-05-2020,2506.35,2513.84,2505.94,2513.84,7.95,0.32,-,-,-,-,-
Nifty Composite G-sec Index,13-05-2020,2186.88,2194.3,2184.45,2193.37,6.88,0.31,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,13-05-2020,1964.17,1975.36,1954.89,1973.41,9.58,0.49,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),13-05-2020,970.12,975.68,965.5,974.71,4.59,0.47,-,-,-,-,-
Nifty 1D Rate Index,13-05-2020,-,-,-,1887.66,0.09,0,-,-,-,-,-
Nifty50 USD,13-05-2020,-,-,-,4308.48,88.64,2.1,-,-,-,-,-
Nifty Next 50,14-05-2020,23330.05,23535.35,23217.25,23306.6,-151.05,-0.64,563833503,7767.3,66.54,3.05,1.42
Nifty 100,14-05-2020,9396.85,9465.85,9310.05,9333.1,-219.55,-2.3,1170951485,37325.06,23.3,2.65,1.63
Nifty 200,14-05-2020,4787.35,4824.2,4746.85,4759.15,-101.9,-2.1,1933848818,44654.07,22.84,2.54,1.61
Nifty 500,14-05-2020,7558.15,7614.8,7495.9,7514.55,-152.45,-1.99,2144455767,46932.59,23.88,2.46,1.59
Nifty Midcap 50,14-05-2020,3621.1,3665.65,3600.75,3626.1,-21.5,-0.59,717970112,6553.75,18.48,1.58,1.78
NIFTY Midcap 100,14-05-2020,12996.3,13135.85,12943.4,13018.2,-45.8,-0.35,762897333,7329.01,19.56,1.88,1.48
NIFTY Smallcap 100,14-05-2020,3959.5,3978.7,3924.75,3936.2,-39.5,-0.99,152552116,1510.34,,1.33,1.8
Nifty50 Dividend Points,14-05-2020,-,-,-,1.83,0,-,-,-,-,-,-
Nifty Auto,14-05-2020,5698.55,5865.95,5668.4,5804.05,-40.55,-0.69,109783296,3550.22,19.3,2.54,1.91
Nifty Bank,14-05-2020,19197.7,19380.1,19024.75,19068.5,-566.45,-2.88,333038859,7758.17,21.94,1.78,0.51
Nifty Energy,14-05-2020,12764.35,12782.4,12456.25,12485.95,-425.5,-3.3,189907571,4631.17,9.92,1.2,4.13
Nifty Financial Services,14-05-2020,9499.85,9581.65,9337.2,9355.65,-323.95,-3.35,303269159,12950.23,19.64,2.59,0.79
Nifty FMCG,14-05-2020,26618.1,27090.8,26587,26933.65,187.15,0.7,65530916,5089.02,32.02,9.15,1.53
Nifty IT,14-05-2020,13396.05,13483.7,13246.8,13293.7,-483.25,-3.51,40148565,2475.5,16.59,4.29,2.37
Nifty Media,14-05-2020,1160.15,1166.6,1136.8,1158.4,-12.7,-1.08,43340661,716.16,160.57,1.46,1.77
Nifty Metal,14-05-2020,1732.15,1753.25,1710.3,1715.05,-45.55,-2.59,116071601,1228.53,8.28,0.73,7.33
Nifty MNC,14-05-2020,11935.7,12104.1,11896.2,12041.9,25.5,0.21,360679804,6293.19,,3.33,2.18
Nifty Pharma,14-05-2020,9146.1,9279.65,9103.8,9172.2,24.45,0.27,60236390,3280.64,29.12,3.51,0.59
Nifty PSU Bank,14-05-2020,1221.45,1236.85,1202.9,1205.9,-32.15,-2.6,121895775,1145.75,,0.41,0
Nifty Realty,14-05-2020,178.6,178.6,173.2,175.2,-3.2,-1.79,12407814,206.56,16.91,1.56,0.56
Nifty India Consumption,14-05-2020,4283.6,4334.8,4277.7,4310.25,-13.75,-0.32,202821701,9960.76,48.94,4.91,1.35
Nifty Commodities,14-05-2020,2561.55,2574.15,2526.45,2536.2,-51.7,-2,298736571,6849.94,11.37,1.15,4.1
Nifty Dividend Opportunities 50,14-05-2020,2020.35,2033.15,2008.85,2015.7,-35.05,-1.71,611280361,9485.34,11.71,1.77,4.93
Nifty Infrastructure,14-05-2020,2730.9,2746.15,2691.5,2706.85,-55.45,-2.01,294121105,8670.97,22.2,1.83,2.21
Nifty PSE,14-05-2020,2296.6,2296.95,2247.8,2252.55,-58.75,-2.54,436549225,2534.52,7.11,0.93,6.78
Nifty Services Sector,14-05-2020,12370.7,12461.85,12206.4,12229.75,-414.4,-3.28,510958059,18216.65,20.51,2.7,1.51
Nifty50 Shariah,14-05-2020,-,-,-,2198.77,-53.01,-2.35,108809777,7714.77,21.19,3.9,2.32
Nifty500 Shariah,14-05-2020,-,-,-,2612.71,-40.24,-1.52,575766770,14484.25,22.67,3.75,1.87
Nifty Low Volatility 50,14-05-2020,-,-,-,9444.89,-95.92,-1.01,226074482,16748.85,20.69,3.43,1.74
Nifty Alpha 50,14-05-2020,11477.05,11580.4,11420.05,11462.7,-79.3,-0.69,212797221,15053.64,28.81,5.46,0.57
Nifty High Beta 50,14-05-2020,-,-,-,820.88,-14.9,-1.78,1261594588,12588.35,,0.6,3.15
Nifty100 Equal Weight,14-05-2020,10469.9,10549.9,10413.9,10442.2,-134.7,-1.27,1170951485,37325.06,,1.85,2.39
Nifty100 Liquid 15,14-05-2020,2324.35,2351.1,2301.8,2310.75,-49.35,-2.09,327609300,10764.53,25.7,1.33,2.28
Nifty CPSE,14-05-2020,1350.15,1350.4,1317.6,1324.55,-37.3,-2.74,120161177,936.43,6.88,0.91,7.55
Nifty50 Value 20,14-05-2020,4494.25,4521.35,4466.4,4481.65,-99.6,-2.17,248357787,7290.97,12.91,2.34,3.73
Nifty Midcap Liquid 15,14-05-2020,3120.3,3156.2,3104.2,3123.4,-27.75,-0.88,152455311,2305.3,15.05,1.71,1.95
Nifty Shariah 25,14-05-2020,-,-,-,3793.64,-28.49,-0.75,112930300,7247.71,22.15,3.25,1.9
India VIX,14-05-2020,38.835,38.835,35.795,38.18,-0.65,-1.68,-,-,-,-,-
Nifty Growth Sectors 15,14-05-2020,4553.35,4609.25,4539.3,4546.1,-70.2,-1.52,181562786,13126.2,20.19,4.05,1.24
Nifty50 TR 1x Inverse,14-05-2020,417.05,421.15,414.15,420.15,10.5,2.56,-,-,-,-,-
Nifty50 TR 2x Leverage,14-05-2020,3592.4,3645.35,3517.9,3535.8,-191.45,-5.14,-,-,-,-,-
Nifty50 PR 1x Inverse,14-05-2020,476.95,481.6,473.6,480.5,12.05,2.57,-,-,-,-,-
Nifty50 PR 2x Leverage,14-05-2020,2743.3,2783.75,2686.4,2700.1,-146.2,-5.14,-,-,-,-,-
NIFTY100 Quality 30,14-05-2020,2193.4,2218,2187.1,2199.7,-21.05,-0.95,205184404,16037.94,23.2,5.4,2.16
Nifty 50 Futures TR Index,14-05-2020,-,-,-,9315.77,-253.05,-2.64,-,-,-,-,-
Nifty 50 Arbitrage,14-05-2020,-,-,-,1906.36,1.24,0.07,-,-,-,-,-
NIFTY50 Equal Weight,14-05-2020,9475.35,9532.2,9422.55,9455.2,-160.45,-1.67,602555564,29541.59,15.93,1.78,2.81
Nifty100 Low Volatility 30,14-05-2020,7553.35,7595.6,7523.45,7551.55,-91.75,-1.2,215601230,17405.55,19.64,3.63,1.87
NIFTY Alpha Low-Volatility 30,14-05-2020,-,-,-,10003.07,-147.76,-1.46,241459659,16130.99,23.18,4.29,1.39
NIFTY Quality Low-Volatility 30,14-05-2020,-,-,-,7233.37,-59.48,-0.82,126553782,11887.73,24.1,5.73,1.81
NIFTY Alpha Quality Low-Volatility 30,14-05-2020,-,-,-,8305.6,-100.87,-1.2,164065480,17251.05,25.77,6.07,1.47
NIFTY Alpha Quality Value Low-Volatility 30,14-05-2020,-,-,-,6417.6,-74.05,-1.14,229976661,13623.93,17.82,3.54,2.4
NIFTY200 Quality 30,14-05-2020,8412.6,8506.4,8391.75,8453.95,-59.25,-0.7,153178205,10263.32,23.83,5.85,2.21
NIFTY LargeMidcap 250,14-05-2020,-,-,-,4674.95,-66.41,-1.4,1943555107,45062.93,22.57,2.43,1.46
NIFTY SME EMERGE,14-05-2020,-,-,-,1091.91,-1.23,-0.11,-,-,10.78,1.01,0.48
Nifty Oil & Gas,14-05-2020,-,-,-,4154.32,-118.64,-2.78,74560300,4047.97,11.08,1.42,3.78
NIFTY100 ESG,14-05-2020,-,-,-,1790.62,-44.03,-2.4,972376036,33519.41,25.08,2.94,1.38
NIFTY100 Enhanced ESG,14-05-2020,-,-,-,1799.82,-45.49,-2.47,937482928,32196.73,25.02,2.94,1.41
NIFTY500 Value 50,14-05-2020,-,-,-,2516.96,-41.75,-1.63,663933201,4698.29,6.43,0.61,8.17
NIFTY100 Alpha 30,14-05-2020,-,-,-,6616.25,-132.91,-1.97,206401352,18717.54,54.12,4.87,0.8
Nifty 50 Futures Index,14-05-2020,-,-,-,3045.45,-83.15,-2.66,-,-,-,-,-
Nifty Consumer Durables,14-05-2020,-,-,-,12101.01,-179.64,-1.46,11799950,662.57,40.47,7.77,0.59
Nifty Midcap 150,14-05-2020,4960.1,5006.55,4941.5,4960.85,-22.25,-0.45,772603622,7737.87,21.81,2.25,1.28
Nifty MidSmallcap 400,14-05-2020,4424.7,4461.25,4407.55,4419.25,-25.85,-0.58,973504282,9607.53,26.82,1.86,1.43
Nifty Smallcap 50,14-05-2020,1865.85,1880.7,1853.45,1859.7,-17.4,-0.93,102023071,1042.51,14.64,1.18,1.64
Nifty Smallcap 250,14-05-2020,3474.95,3494.5,3451.15,3458.8,-32,-0.92,200900660,1869.66,62.36,1.3,1.79
Nifty Private Bank,14-05-2020,10483.05,10599.4,10420.5,10444.75,-274.15,-2.56,240409314,6820.51,20.9,2.08,0.63
Nifty Tata Group 25% Cap,14-05-2020,-,-,-,3522.97,-62.88,-1.75,140217391,1876.81,17.18,1.95,1.28
Nifty Tata Group,14-05-2020,-,-,-,5706.4,-129.16,-2.21,145579299,1905.41,21.03,4.32,1.35
Nifty Mahindra Group,14-05-2020,-,-,-,6717.01,-292.2,-4.17,24163960,745.15,11.26,1.68,2.6
Nifty Aditya Birla Group,14-05-2020,-,-,-,2134.76,-11.31,-0.53,273926885,773.77,,1.06,0.49
Nifty 8-13 yr G-Sec,14-05-2020,2153.13,2165.31,2153.13,2158.49,5.74,0.27,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,14-05-2020,2292.41,2300.86,2292.1,2293.12,1.11,0.05,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,14-05-2020,2318.82,2331.64,2318.82,2320.8,2.39,0.1,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,14-05-2020,2514.3,2528.02,2514.3,2522.07,8.23,0.33,-,-,-,-,-
Nifty Composite G-sec Index,14-05-2020,2193.76,2204.19,2193.76,2197.15,3.78,0.17,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,14-05-2020,1973.74,1988.14,1973.74,1979.15,5.74,0.29,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),14-05-2020,974.7,981.86,974.7,977.4,2.69,0.28,-,-,-,-,-
Nifty 1D Rate Index,14-05-2020,-,-,-,1887.77,0.11,0.01,-,-,-,-,-
Nifty50 USD,14-05-2020,-,-,-,4192.23,-116.25,-2.7,-,-,-,-,-
Nifty Next 50,27-04-2020,23170.75,23490.7,23158.55,23429.25,465.45,2.03,508458555,7362.8,62.78,3.1,1.41
Nifty 100,27-04-2020,9427.75,9544.2,9419.2,9462.15,138.45,1.48,1022920718,34065.01,22.97,2.7,1.61
Nifty 200,27-04-2020,4795.7,4850.7,4791.75,4813.15,70.75,1.49,1392979149,40748.44,22.52,2.58,1.59
Nifty 500,27-04-2020,7578,7657.65,7572.1,7603.95,110.5,1.47,1630332943,44108.47,23.55,2.49,1.57
Nifty Midcap 50,27-04-2020,3519.35,3547.85,3514.45,3531.25,60.9,1.75,312430848,5255.19,17.87,1.54,1.83
NIFTY Midcap 100,27-04-2020,12847.5,12933.95,12824.9,12893.7,198,1.56,370058431,6683.42,19.25,1.87,1.49
NIFTY Smallcap 100,27-04-2020,4018.5,4030.75,3987.6,3992,32.4,0.82,162419416,1849.51,,1.34,1.77
Nifty50 Dividend Points,27-04-2020,-,-,-,0,0,-,-,-,-,-,-
Nifty Auto,27-04-2020,5458.65,5528.8,5405.7,5433.2,55.95,1.04,106148950,2628.85,17.79,2.37,2.04
Nifty Bank,27-04-2020,19870.8,20224.75,19847.65,20081.15,494.5,2.52,299864446,8082.32,21.4,1.88,0.48
Nifty Energy,27-04-2020,12640.95,12785.05,12558.05,12581.95,81.15,0.65,115314371,4846.86,9.78,1.21,4.08
Nifty Financial Services,27-04-2020,9569.1,9749.5,9557.8,9627.6,195.75,2.08,239744655,12387.27,19.64,2.68,0.76
Nifty FMCG,27-04-2020,28805.2,29101.65,28771.6,29052.55,415.85,1.45,42007893,2912.86,33.84,9.87,1.42
Nifty IT,27-04-2020,12957.35,13248.95,12928.05,13121.15,304.95,2.38,40245218,2653.73,16.73,4.24,2.41
Nifty Media,27-04-2020,1146.95,1151,1118.25,1129.1,7.4,0.66,30420108,593.67,156.51,1.43,1.82
Nifty Metal,27-04-2020,1672.6,1687.45,1664.1,1666.6,21.4,1.3,111601513,1158.91,8.05,0.7,7.54
Nifty MNC,27-04-2020,12203.65,12373.3,12191.05,12339.6,264.9,2.19,311474184,3558.03,,3.41,2.12
Nifty Pharma,27-04-2020,9590.5,9753.5,9557.4,9602.05,83.6,0.88,75788241,4627.42,29.65,3.67,0.56
Nifty PSU Bank,27-04-2020,1280.25,1288.25,1265.7,1267.7,5.1,0.4,95141993,995.7,,0.43,0
Nifty Realty,27-04-2020,180.4,182.5,178.45,180.1,2.4,1.35,12232963,203.11,17.04,1.6,0.54
Nifty India Consumption,27-04-2020,4431.2,4463.5,4426.3,4450.65,52.75,1.2,99062864,6451.73,48.57,5.07,1.31
Nifty Commodities,27-04-2020,2514,2538.8,2511.3,2516.95,32.05,1.29,225996045,6811.58,11.21,1.14,4.13
Nifty Dividend Opportunities 50,27-04-2020,2041.6,2061.55,2040.35,2048.1,24.6,1.22,259973631,6250.21,11.88,1.8,4.86
Nifty Infrastructure,27-04-2020,2643.75,2676.45,2630.15,2635.2,20.25,0.77,185834712,7629.17,20.88,1.79,2.27
Nifty PSE,27-04-2020,2317.15,2324.8,2300.9,2303.65,10.1,0.44,151171354,1332.19,7.27,0.95,6.63
Nifty Services Sector,27-04-2020,12269.8,12459.35,12258.55,12318.05,200.95,1.66,408873180,16468.36,20.29,2.72,1.49
Nifty50 Shariah,27-04-2020,-,-,-,2269.43,35.91,1.61,103130234,5869.7,21.82,3.98,2.29
Nifty500 Shariah,27-04-2020,-,-,-,2679.93,42,1.59,348144825,13495.26,23.32,3.85,1.82
Nifty Low Volatility 50,27-04-2020,-,-,-,9588.94,106.74,1.13,187974594,15201.28,21.09,3.49,1.72
Nifty Alpha 50,27-04-2020,11016,11266.15,11000.05,11227.55,277.35,2.53,222294098,16500.22,28.4,5.35,0.58
Nifty High Beta 50,27-04-2020,-,-,-,802.6,14.37,1.82,832306425,10709.91,,0.58,3.22
Nifty100 Equal Weight,27-04-2020,10314.3,10433.7,10307.1,10388.55,181.5,1.78,1022920718,34065.01,3779.26,1.85,2.41
Nifty100 Liquid 15,27-04-2020,2270.75,2293.3,2262,2273.6,39.85,1.78,272959140,9846.19,23.04,1.31,2.31
Nifty CPSE,27-04-2020,1345.95,1347.55,1332.3,1334.05,3.5,0.26,69960318,578.03,6.93,0.92,7.5
Nifty50 Value 20,27-04-2020,4558.4,4601.3,4554.4,4568,48.85,1.08,172540519,4533.47,13.22,2.38,3.66
Nifty Midcap Liquid 15,27-04-2020,3012.55,3047.85,3011.7,3038.95,64.4,2.17,93289935,2226.79,14.64,1.66,2
Nifty Shariah 25,27-04-2020,-,-,-,3989.62,74.97,1.92,133483417,6351.5,23.24,3.42,1.81
India VIX,27-04-2020,39.1175,40.1675,35.2125,38.04,-1.08,-2.75,-,-,-,-,-
Nifty Growth Sectors 15,27-04-2020,4748.6,4810.05,4745.9,4763.1,66.05,1.41,172639881,11210.94,20.86,4.25,1.19
Nifty50 TR 1x Inverse,27-04-2020,416.95,417,411.6,415.9,-5.85,-1.39,-,-,-,-,-
Nifty50 TR 2x Leverage,27-04-2020,3654.3,3745.45,3653.9,3671.95,99.2,2.78,-,-,-,-,-
Nifty50 PR 1x Inverse,27-04-2020,476.7,476.75,470.55,475.55,-6.65,-1.38,-,-,-,-,-
Nifty50 PR 2x Leverage,27-04-2020,2791.65,2861.3,2791.35,2805.15,75.8,2.78,-,-,-,-,-
NIFTY100 Quality 30,27-04-2020,2267.65,2291.35,2265.05,2286.1,37.75,1.68,148905047,12380.71,24.01,5.61,2.08
Nifty 50 Futures TR Index,27-04-2020,-,-,-,9451.07,160.79,1.73,-,-,-,-,-
Nifty 50 Arbitrage,27-04-2020,-,-,-,1906.91,-3.68,-0.19,-,-,-,-,-
NIFTY50 Equal Weight,27-04-2020,9321,9409.9,9307.35,9362.4,152.95,1.66,512793298,26696.54,15.67,1.76,2.84
Nifty100 Low Volatility 30,27-04-2020,7730.1,7785.55,7719.05,7756.45,97.7,1.28,173915875,14764.97,20.15,3.73,1.82
NIFTY Alpha Low-Volatility 30,27-04-2020,-,-,-,10451.41,198.34,1.93,221540014,15880.81,24.04,4.48,1.33
NIFTY Quality Low-Volatility 30,27-04-2020,-,-,-,7515,119.94,1.62,104161515,9237.25,24.91,5.95,1.74
NIFTY Alpha Quality Low-Volatility 30,27-04-2020,-,-,-,8683.7,148.01,1.73,148630923,15941.89,26.95,6.35,1.4
NIFTY Alpha Quality Value Low-Volatility 30,27-04-2020,-,-,-,6591.24,96.98,1.49,172929531,11880.09,18.31,3.64,2.34
NIFTY200 Quality 30,27-04-2020,8717.95,8812.85,8709.05,8794,154.35,1.79,98331898,7552.21,24.69,6.08,2.12
NIFTY LargeMidcap 250,27-04-2020,-,-,-,4698.68,73.18,1.58,1409145180,41542.98,22.3,2.45,1.45
NIFTY SME EMERGE,27-04-2020,-,-,-,1096.32,7.08,0.65,-,-,11.04,1.03,0.48
Nifty Oil & Gas,27-04-2020,-,-,-,4172.84,49.26,1.19,86099519,4753.27,10.87,1.43,3.75
NIFTY100 ESG,27-04-2020,-,-,-,1809.93,26.04,1.46,904540574,32228.63,24.26,2.98,1.36
NIFTY100 Enhanced ESG,27-04-2020,-,-,-,1817.58,26.29,1.47,862450493,30289.09,24.19,2.98,1.39
NIFTY500 Value 50,27-04-2020,-,-,-,2464.16,14.93,0.61,263523892,2469.22,6.3,0.6,8.34
NIFTY100 Alpha 30,27-04-2020,-,-,-,6835.5,130.32,1.94,209946472,18398.49,55.16,5.05,0.78
Nifty 50 Futures Index,27-04-2020,-,-,-,3096.86,51.46,1.69,-,-,-,-,-
Nifty Consumer Durables,27-04-2020,-,-,-,12661.29,157.29,1.26,10294085,779.76,42.07,8.13,0.56
Nifty Midcap 150,27-04-2020,4913.05,4947.95,4904.65,4941,81.75,1.68,386224462,7477.97,21.59,2.24,1.28
Nifty MidSmallcap 400,27-04-2020,4423.2,4445.5,4410.95,4433.85,62.45,1.43,607412225,10043.46,26.57,1.86,1.42
Nifty Smallcap 50,27-04-2020,1886.55,1892.7,1871.95,1876.85,14.55,0.78,81870479,1237.9,14.61,1.19,1.62
Nifty Smallcap 250,27-04-2020,3552.45,3566.3,3531.85,3533,28.7,0.82,221187763,2565.5,60.17,1.33,1.75
Nifty Private Bank,27-04-2020,10691.1,10910.6,10679.65,10857.55,314.95,2.99,230395176,7213.77,20,2.16,0.6
Nifty Tata Group 25% Cap,27-04-2020,-,-,-,3573.09,67.65,1.93,72466004,2210.65,17.42,1.97,1.26
Nifty Tata Group,27-04-2020,-,-,-,5607.03,72.79,1.32,78253982,2300.18,20.65,4.24,1.37
Nifty Mahindra Group,27-04-2020,-,-,-,6073.32,37.63,0.62,16789637,503.35,10.4,1.52,2.88
Nifty Aditya Birla Group,27-04-2020,-,-,-,2025.22,30.29,1.52,274874007,565.81,,1,0.52
Nifty 8-13 yr G-Sec,27-04-2020,2128.89,2134.29,2127.1,2130.25,1.74,0.08,-,-,-,-,-
Nifty 4-8 yr G-Sec Index,27-04-2020,2274.39,2277.6,2269.61,2273.71,-0.27,-0.01,-,-,-,-,-
Nifty 11-15 yr G-Sec Index,27-04-2020,2286.8,2292.89,2285.96,2289.88,3.51,0.15,-,-,-,-,-
Nifty 15 yr and above G-Sec Index,27-04-2020,2508.69,2510.46,2508.69,2509.77,1.54,0.06,-,-,-,-,-
Nifty Composite G-sec Index,27-04-2020,2174.72,2179.73,2172.04,2176.08,1.74,0.08,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec,27-04-2020,1958.4,1964.52,1956.49,1960.32,2.26,0.12,-,-,-,-,-
Nifty 10 yr Benchmark G-Sec (Clean Price),27-04-2020,969.97,973.02,969.02,970.93,0.95,0.1,-,-,-,-,-
Nifty 1D Rate Index,27-04-2020,-,-,-,1885.02,0.32,0.02,-,-,-,-,-
Nifty50 USD,27-04-2020,-,-,-,4218.26,69.41,1.67,-,-,-,-,-
Nifty Next 50,28-04-2020,23680.25,23691.6,23234.4,23367.95,-61.3,-0.26,550463499,6313.24,62.71,3.09,1.41
Nifty 100,28-04-2020,9570.6,9582.4,9434.15,9545.05,82.9,0.88,1167294737,36412.49,23.18,2.72,1.59
Nifty 200,28-04-2020,4867.75,4873.25,4799.55,4857.45,44.3,0.92,1562339922,43501.26,22.73,2.6,1.58
Nifty 500,28-04-2020,7690.55,7698.55,7584.85,7672.45,68.5,0.9,1782031657,46644.07,23.77,2.52,1.56
Nifty Midcap 50,28-04-2020,3570.15,3606.95,3528.45,3597.8,66.55,1.88,357934610,6173.32,18.2,1.57,1.79
NIFTY Midcap 100,28-04-2020,13026.05,13090.7,12857.05,13061,167.3,1.3,395045185,7088.76,19.5,1.89,1.47
NIFTY Smallcap 100,28-04-2020,4048.5,4054.25,3976.95,4021.65,29.65,0.74,136944897,1807.66,,1.35,1.76
Nifty50 Dividend Points,28-04-2020,-,-,-,0,0,-,-,-,-,-,-
Nifty Auto,28-04-2020,5476.85,5524.05,5399.3,5447.1,13.9,0.26,99044323,2268.15,17.83,2.38,2.03
Nifty Bank,28-04-2020,20436.6,20751.3,20260.8,20671.1,589.95,2.94,367772101,10339.15,22.07,1.93,0.47
Nifty Energy,28-04-2020,12677.95,12713,12433.45,12547.7,-34.25,-0.27,169197849,6683.45,9.75,1.21,4.09
Nifty Financial Services,28-04-2020,9766.45,9978.4,9696.1,9951.2,323.6,3.36,244696501,13129.2,20.3,2.77,0.74
Nifty FMCG,28-04-2020,29208.9,29233.4,28636,28778.15,-274.4,-0.94,39175236,2465.34,33.52,9.77,1.43
Nifty IT,28-04-2020,13301.95,13317.2,13067.75,13133.65,12.5,0.1,38809479,2312.16,16.74,4.24,2.4
Nifty Media,28-04-2020,1137.8,1145.2,1128.55,1134.9,5.8,0.51,24944589,422.29,157.31,1.43,1.81
Nifty Metal,28-04-2020,1678.3,1685.95,1653.8,1661.65,-4.95,-0.3,112137492,1107.54,8.02,0.7,7.56
Nifty MNC,28-04-2020,12463.05,12470.55,12222,12254.25,-85.35,-0.69,385746700,3519.77,,3.39,2.14
Nifty Pharma,28-04-2020,9699.25,9701,9352,9386.2,-215.85,-2.25,51486443,3152.36,28.99,3.59,0.58
Nifty PSU Bank,28-04-2020,1276.1,1290.3,1267.9,1283.6,15.9,1.25,109421972,1181.88,,0.44,0
Nifty Realty,28-04-2020,182.25,182.6,179.75,181.5,1.4,0.78,14295543,200.2,17.17,1.62,0.54
Nifty India Consumption,28-04-2020,4474.35,4481.05,4397.55,4417.2,-33.45,-0.75,100786410,5927.99,48.21,5.03,1.32
Nifty Commodities,28-04-2020,2543.3,2546.95,2510.4,2517.6,0.65,0.03,275453864,8714.27,11.21,1.14,4.13
Nifty Dividend Opportunities 50,28-04-2020,2062.5,2065.3,2033.4,2043.4,-4.7,-0.23,312030947,6047.59,11.85,1.8,4.87
Nifty Infrastructure,28-04-2020,2660.4,2663.85,2616.7,2632.55,-2.65,-0.1,251993317,9836.32,20.86,1.79,2.27
Nifty PSE,28-04-2020,2311.3,2315.9,2285.75,2289.75,-13.9,-0.6,195860275,1974.06,7.23,0.94,6.67
Nifty Services Sector,28-04-2020,12490.6,12638.95,12371.1,12595.85,277.8,2.26,494814069,19685.85,20.76,2.78,1.46
Nifty50 Shariah,28-04-2020,-,-,-,2261.53,-7.9,-0.35,120623923,5509.08,21.75,3.97,2.3
Nifty500 Shariah,28-04-2020,-,-,-,2671.09,-8.84,-0.33,320284750,11710.23,23.24,3.84,1.83
Nifty Low Volatility 50,28-04-2020,-,-,-,9583.86,-5.08,-0.05,208051336,15994.34,21.08,3.49,1.72
